CHILD_ID,CHILD_NMPY,CHILD_NMCH,CHILD_NMFT,BEG_YR,END_YR,PRT_NMPY,PRT_NMCH,PRT_ID
30061,Nanxu Zhou,南徐州,南徐州,557,588,Nanchao Chen,南朝陈,113690
30064,Nanyu Zhou,南豫州,南豫州,553,556,Nanchao Liang,南朝梁,113689
30064,Nanyu Zhou,南豫州,南豫州,557,572,Nanchao Chen,南朝陈,113690
30065,Nanyu Zhou,南豫州,南豫州,573,579,Nanchao Chen,南朝陈,113690
30066,Nanyu Zhou,南豫州,南豫州,580,588,Nanchao Chen,南朝陈,113690
30067,Zhejiangxidao,浙江西道节度,浙江西道节度,758,760,Tang,唐,113618
30068,Zhejiangxidao,浙江西道观察,浙江西道觀察,761,765,Tang,唐,113618
30069,Zhejiangxidao,浙江西道都团,浙江西道都團,766,778,Tang,唐,113618
30070,Zhejiangdongxi,浙江东西道都,浙江東西道都,779,779,Tang,唐,113618
30071,Zhejiangxidao,浙江西道团练,浙江西道團聯,780,780,Tang,唐,113618
30072,Zhejiangdongxi,浙江东西道节,浙江東西道節,781,786,Tang,唐,113618
30073,Zhejiangxidao,浙江西道都团,浙江西道都團,787,804,Tang,唐,113618
30074,Zhenhaijun Jie,镇海军节度使,鎮海軍節度使,805,808,Tang,唐,113618
30075,Zhejiangxidao,浙江西道观察,浙江西道觀察,809,857,Tang,唐,113618
30076,Zhenhaijun Jie,镇海军节度使,鎮海軍節度使,858,858,Tang,唐,113618
30077,Zhejiangxidao,浙江西道都团,浙江西道都團,859,861,Tang,唐,113618
30078,Zhenhaijun Jie,镇海军节度使,鎮海軍節度使,862,892,Tang,唐,113618
30079,Zhongguojun Ji,忠国军节度使,忠國軍節度使,888,906,Tang,唐,113618
30079,Zhongguojun Ji,忠国军节度使,忠國軍節度使,907,958,Wudaiwuyue,五代吴越,113621
30080,Wuningjun Jied,武宁军节度使,武寧軍節度使,887,906,Tang,唐,113618
30080,Wuningjun Jied,武宁军节度使,武寧軍節度使,907,911,Wudaiwu,五代吴,113619
30081,Zhenhaijun Jie,镇海军节度使,鎮海軍節度使,893,906,Tang,唐,113618
30081,Zhenhaijun Jie,镇海军节度使,鎮海軍節度使,907,977,Wudaiwuyue,五代吴越,113621
30082,Hangzhou Fangy,杭州防御使,杭州防禦使,889,892,Tang,唐,113618
30083,Zhejiangdongda,浙江东道节度,浙江東道節度,758,769,Tang,唐,113618
30084,Zhejiangdongda,浙江东道都团,浙江东道都团,770,778,Tang,唐,113618
30085,Zhejiangdongda,浙江东道团练,浙江东道团练,780,780,Tang,唐,113618
30086,Zhejiangdongda,浙江东道都团,浙江东道都团,787,882,Tang,唐,113618
30087,Yishengjun Jie,义胜军节度使,義勝軍節度使,883,886,Tang,唐,113618
30088,Weishengjun Ji,威胜军节度使,威勝軍節度使,887,895,Tang,唐,113618
30089,Zhendong Jiedu,镇东军节度使,鎮東軍節度使,896,906,Tang,唐,113618
30089,Zhendong Jiedu,镇东军节度使,鎮東軍節度使,907,977,Wudaiwuyue,五代吴越,113621
30090,Quzhou Dutuanl,衢州都团练观,衢州都團練觀,905,906,Tang,唐,113618
30090,Quzhou Dutuanl,衢州都团练观,衢州都團練觀,907,977,Wudaiwuyue,五代吴越,113621
30091,Wuzhou Dutuanl,婺州都团练观,婺州都團練觀,905,906,Tang,唐,113618
30091,Wuzhou Dutuanl,婺州都团练观,婺州都團練觀,907,938,Wudaiwuyue,五代吴越,113621
30092,Muzhou Dutuanl,睦州都团练观,睦州都团练观,905,906,Tang,唐,113618
30092,Muzhou Dutuanl,睦州都团练观,睦州都团练观,907,977,Wudaiwuyue,五代吴越,113621
30093,Runzhou Guanch,润州观察使,潤州觀察使,910,911,Wudaiwu,五代吴,113619
30094,Zhenhaijun Jie,镇海军节度使,鎮海軍節度使,912,916,Wudaiwu,五代吴,113619
30095,Zhenhaijun Jie,镇海军节度使,鎮海軍節度使,917,936,Wudaiwu,五代吴,113619
30096,Runzhou Tuanli,润州团练使,潤州團練使,917,936,Wudaiwu,五代吴,113619
30097,Zhenhaijun Jie,镇海军节度使,鎮海軍節度使,937,974,Wudainantang,五代南唐,113632
30098,Zhongwujun Jie,中吴军节度使,中吴军节度使,917,974,Wudaiwuyue,五代吴越,113621
30099,Pingjiangjun J,平江军节度使,平江軍節度使,975,977,Wudaiwuyue,五代吴越,113621
30100,Xuandejun Jied,宣德军节度使,宣德軍節度使,959,977,Wudaiwuyue,五代吴越,113621
30101,Jianhaijun Jie,静海军节度使,靜海軍節度使,939,977,Wudaiwuyue,五代吴越,113621
30102,Wanghaijun Jie,望海军节度使,望海軍節度使,907,959,Wudaiwuyue,五代吴越,113621
30103,Fengguojun Jie,奉国军节度使,奉國軍節度使,960,977,Wudaiwuyue,五代吴越,113621
30104,Wushengjun Jie,武胜军节度使,武勝軍節度使,939,977,Wudaiwuyue,五代吴越,113621
30105,Dehuajun Jiedu,德化军节度使,德化軍節度使,887,906,Tang,唐,113618
30105,Dehuajun Jiedu,德化军节度使,德化軍節度使,907,977,Wudaiwuyue,五代吴越,113621
30106,Dongyang Zhou,东扬州,東揚州,464,464,Nanchaosong,南朝宋,113687
30107,Dongyang Zhou,东扬州,東揚州,524,556,Nanchao Liang,南朝梁,113689
30108,Dongyang Zhou,东扬州,東揚州,562,588,Nanchao Chen,南朝陈,113690
30109,Weiwujun Jiedu,威武军节度使,威武軍節度使,909,943,Min Guo,闽国,100000
30109,Weiwujun Jiedu,威武军节度使,威武軍節度使,944,944,Yin Guo,殷国,100001
30109,Weiwujun Jiedu,威武军节度使,威武軍節度使,945,947,Min Guo,闽国,100006
30109,Weiwujun Jiedu,威武军节度使,威武軍節度使,897,908,Tang,唐,113618
30109,Weiwujun Jiedu,威武军节度使,威武軍節度使,948,950,Wudaiwuyue,五代吴越,113621
30110,Zhangwujun Jie,彰武军节度使,彰武軍節度使,951,976,Wudaiwuyue,五代吴越,113621
30111,Weiwujun Jiedu,威武军节度使,威武軍節度使,977,977,Wudaiwuyue,五代吴越,113621
30112,Zhenwujun Jied,镇武军节度使,鎮武軍節度使,941,942,Min Guo,闽国,100000
30112,Zhenwujun Jied,镇武军节度使,鎮武軍節度使,943,943,Yin Guo,殷国,100001
30112,Zhenwujun Jied,镇武军节度使,鎮武軍節度使,944,944,Yin Guo,殷国,100001
30113,Yong'anjun Jie,永安军节度使,永安軍節度使,945,955,Wudainantang,五代南唐,113632
30114,Zhongyijun Jie,忠义军节度使,忠義軍節度使,956,974,Wudainantang,五代南唐,113632
30121,Jiang Zhou,江州,江州,291,316,Xijin,西晋,113661
30122,Jiang Zhou,江州,江州,317,325,Dongjin,东晋,113686
30123,Jiang Zhou,江州,江州,326,339,Dongjin,东晋,113686
30124,Jiang Zhou,江州,江州,340,340,Dongjin,东晋,113686
30125,Jiang Zhou,江州,江州,341,342,Dongjin,东晋,113686
30126,Jiang Zhou,江州,江州,343,418,Dongjin,东晋,113686
30127,Jiang Zhou,江州,江州,419,420,Dongjin,东晋,113686
30127,Jiang Zhou,江州,江州,421,479,Nanchaosong,南朝宋,113687
30127,Jiang Zhou,江州,江州,480,502,Nanchao Qi,南朝齐,113688
30127,Jiang Zhou,江州,江州,503,557,Nanchao Liang,南朝梁,113689
30127,Jiang Zhou,江州,江州,558,588,Nanchao Chen,南朝陈,113690
30128,Hongji Dufangy,洪吉都防御团,洪吉都防御團,758,760,Tang,唐,113618
30129,Jiangnanxidao,江南西道都防,江南西道都防,761,782,Tang,唐,113618
30130,Jiangnanxidao,江南西道节度,江南西道節度,783,784,Tang,唐,113618
30131,Jiangnanxidao,江南西道都团,江南西道都團,785,864,Tang,唐,113618
30132,Zhennanjun Jie,镇南军节度使,鎮南軍節度使,865,873,Tang,唐,113618
30133,Jiangnanxidao,江南西道团练,江南西道團練,874,888,Tang,唐,113618
30134,Zhennanjun Jie,镇南军节度使,鎮南軍節度使,889,936,Tang,唐,113618
30134,Zhennanjun Jie,镇南军节度使,鎮南軍節度使,937,958,Wudainantang,五代南唐,113632
30135,Nandunanchangf,南都南昌府留,南都南昌府留,959,971,Wudainantang,五代南唐,113632
30136,Zhennanjun Jie,镇南军节度使,鎮南軍節度使,972,974,Wudainantang,五代南唐,113632
30137,Jiangnanxi Lu,江南西路,江南西路,976,996,Beisong,北宋,113636
30138,Jiangnanxi Lu,江南西路,江南西路,1020,1127,Beisong,北宋,113636
30138,Jiangnanxi Lu,江南西路,江南西路,1128,1129,Nansong,南宋,113637
30139,Jiangnanxi Lu,江南西路,江南西路,1131,1276,Nansong,南宋,113637
30140,Jiangxi Xingsh,江西行省,江西行省,1277,1277,Yuan,元,113643
30141,Jiangxi Xingsh,江西行省,江西行省,1278,1278,Yuan,元,113643
30142,Jiangxi Xingsh,江西行省,江西行省,1370,1375,Ming,明,113644
30143,Jiangxi Buzhen,江西布政使司,江西布政使司,1376,1644,Ming,明,113645
30144,Jiangxi Sheng,江西省,江西省,1645,1911,Qing,清,113648
30145,Gao Zhou,高州,高州,556,557,Nanchao Liang,南朝梁,113689
30145,Gao Zhou,高州,高州,558,562,Nanchao Chen,南朝陈,113690
30146,Wu Zhou,吴州,吳州,553,557,Nanchao Liang,南朝梁,113689
30146,Wu Zhou,吴州,吳州,558,567,Nanchao Chen,南朝陈,113690
30147,Wu Zhou,吴州,吳州,581,588,Nanchao Chen,南朝陈,113690
30148,Baishengjun Fa,百胜军防御使,百勝軍防御使,909,930,Tang,唐,113618
30149,Zhaoxinjun Jie,昭信军节度使,昭信軍節度使,931,933,Tang,唐,113618
30150,Baishengjun Ji,百胜军节度使,百勝軍節度使,934,936,Tang,唐,113618
30150,Baishengjun Ji,百胜军节度使,百勝軍節度使,937,974,Wudainantang,五代南唐,113632
30151,Yongpingjun Ji,永平军节度使,永平軍節度使,923,936,Tang,唐,113618
30151,Yongpingjun Ji,永平军节度使,永平軍節度使,937,946,Wudainantang,五代南唐,113632
30152,Anhuajun Jiedu,安化军节度使,安化軍節度使,947,974,Wudainantang,五代南唐,113632
30153,Fenghuajun Jie,奉化军节度使,奉化軍節度使,921,936,Tang,唐,113618
30153,Fenghuajun Jie,奉化军节度使,奉化軍節度使,937,974,Wudainantang,五代南唐,113632
30154,Zhaowujun Jied,昭武军节度使,昭武軍節度使,921,936,Tang,唐,113618
30154,Zhaowujun Jied,昭武军节度使,昭武軍節度使,937,974,Wudainantang,五代南唐,113632
30161,Hunan Sheng,湖南省,湖南省,1667,1911,Qing,清,113648
30163,Huguang Buzhen,湖广布政使司,湖廣布政使司,1376,1644,Ming,明,113645
30164,Jinghudenglu X,荆湖等路行省,荊湖等路行省,1275,1275,Yuan,元,113643
30165,Guangdong Buzh,广东布政使司,廣東布政使司,1376,1644,Ming,明,113645
30166,Guangdongdengc,广东等处行省,廣東等處行省,1369,1375,Ming,明,113644
30167,Tanzhou Xingsh,潭州行省,潭州行省,1276,1280,Yuan,元,113643
30168,Tanzhou Xingsh,潭州行省,潭州行省,1281,1284,Yuan,元,113643
30170,Jinghunan Lu,荆湖南路,荊湖南路,979,984,Beisong,北宋,113636
30171,Jinghubei Lu,荆湖北路,荊湖北路,979,984,Beisong,北宋,113636
30172,Jinghu Lu,荆湖路,荊湖路,985,998,Beisong,北宋,113636
30173,Jinghunan Lu,荆湖南路,荊湖南路,999,1127,Beisong,北宋,113636
30173,Jinghunan Lu,荆湖南路,荊湖南路,1128,1130,Nansong,南宋,113637
30174,Jinghubei Lu,荆湖北路,荊湖北路,999,1127,Beisong,北宋,113636
30174,Jinghubei Lu,荆湖北路,荊湖北路,1128,1130,Nansong,南宋,113637
30175,Jinghudong Lu,荆湖东路,荊湖東路,1131,1131,Nansong,南宋,113637
30176,Jinghuxi Lu,荆湖西路,荊湖西路,1131,1131,Nansong,南宋,113637
30177,Jinghunan Lu,荆湖南路,荊湖南路,1132,1275,Nansong,南宋,113637
30178,Jinghubei Lu,荆湖北路,荊湖北路,1132,1135,Nansong,南宋,113637
30179,Jinghubei Lu,荆湖北路,荊湖北路,1136,1274,Nansong,南宋,113637
30180,Lingnan Lu,岭南路,嶺南路,971,987,Beisong,北宋,113636
30181,Guangnandong L,广南东路,廣南東路,988,1127,Beisong,北宋,113636
30181,Guangnandong L,广南东路,廣南東路,1128,1277,Nansong,南宋,113637
30182,Guangnanxi Lu,广南西路,廣南西路,988,1108,Beisong,北宋,113636
30183,Guangxiqiannan,广西黔南路,廣西黔南路,1109,1109,Beisong,北宋,113636
30184,Guangnanxi Lu,广南西路,廣南西路,1110,1127,Beisong,北宋,113636
30184,Guangnanxi Lu,广南西路,廣南西路,1128,1277,Nansong,南宋,113637
30185,Lingnan Jiedus,岭南节度使,嶺南節度使,756,861,Tang,唐,113618
30186,Lingnandongdao,岭南东道节度,嶺南東道節度,862,894,Tang,唐,113618
30187,Qinghaijun Jie,清海军节度使,清海軍節度使,895,916,Tang,唐,113618
30188,Yongguan Jingl,邕管经略使,邕管經略使,756,757,Tang,唐,113618
30189,Yongguan Jingl,邕管经略使兼,邕管經略使兼,758,758,Tang,唐,113618
30190,Yongguan Jiedu,邕管节度使,邕管節度使,759,759,Tang,唐,113618
30191,Yongguan Dufan,邕管都防御经,邕管都防御經,760,763,Tang,唐,113618
30192,Guiyong Dufang,桂邕都防御观,桂邕都防御觀,764,769,Tang,唐,113618
30193,Yongguan Dufan,邕管都防御经,邕管都防御經,770,805,Tang,唐,113618
30194,Yongguan Dufan,邕管都防御观,邕管都防御觀,806,819,Tang,唐,113618
30195,Yongguan Jingl,邕管经略使,邕管經略使,822,861,Tang,唐,113618
30196,Lingnanxidao J,岭南西道节度,嶺南西道節度,862,912,Tang,唐,113618
30197,Jianwujun Jied,建武军节度使,建武軍節度使,913,942,Tang,唐,113618
30199,Shaolianchensa,韶连郴三州都,韶連郴三州都,758,760,Tang,唐,113618
30200,Rongguan Jingl,容管经略使,容管經略使,755,758,Tang,唐,113618
30201,Rongzhou Jingl,容州经略都防,容州經略都防,759,759,Tang,唐,113618
30202,Rongguan Guanc,容管观察使,容管觀察使,760,765,Tang,唐,113618
30203,Rongguan Jingl,容管经略使,容管經略使,766,812,Tang,唐,113618
30204,Rongguan Jingl,容管经略使,容管經略使,813,894,Tang,唐,113618
30205,Rongguan Guanc,容管观察使,容管觀察使,895,896,Tang,唐,113618
30206,Ningyuanjun Ji,宁远军节度使,寧遠軍節度使,897,939,Tang,唐,113618
30207,Hengzhou Fangy,衡州防御使,衡州防御使,757,760,Tang,唐,113618
30208,Hunan Guanchas,湖南观察使,湖南觀察使,764,768,Tang,唐,113618
30209,Hunan Guanchas,湖南观察使,湖南觀察使,769,882,Tang,唐,113618
30210,Qinhuajun Jied,钦化军节度使,欽化軍節度使,883,884,Tang,唐,113618
30214,Qianzhong Caif,黔中采访处置,黔中采訪處置,738,761,Tang,唐,113618
30215,Qianzhong Guan,黔中观察使,黔中觀察使,762,762,Tang,唐,113618
30216,Qianzhong Caif,黔中采访处置,黔中采訪處置,763,768,Tang,唐,113618
30217,Chenxiwujinyew,辰溪巫锦业五,辰溪巫錦業五,769,776,Tang,唐,113618
30218,Qianzhou Jingl,黔州经略招讨,黔州經略招討,777,784,Tang,唐,113618
30219,Qianzhou Guanc,黔州观察使,黔州觀察使,785,786,Tang,唐,113618
30220,Qianzhou Guanc,黔州观察使,黔州觀察使,787,889,Tang,唐,113618
30221,Wutaijun Jiedu,武泰军节度使,武泰軍節度使,890,902,Tang,唐,113618
30222,Wutaijun Jiedu,武泰军节度使,武泰軍節度使,903,906,Tang,唐,113618
30224,Eyuemiansanzho,鄂岳沔三州都,鄂岳沔三州都,759,760,Tang,唐,113618
30225,Ezhou Guanchas,鄂州观察使,鄂州觀察使,765,776,Tang,唐,113618
30226,Ezhou Guanchaf,鄂州观察防御,鄂州觀察防御,777,778,Tang,唐,113618
30227,Ezhou Dutuanli,鄂州都团练观,鄂州都團練觀,783,786,Tang,唐,113618
30228,Eyue Guanchash,鄂岳观察使,鄂岳觀察使,787,805,Tang,唐,113618
30229,Wuchangjun Jie,武昌军节度使,武昌軍節度使,806,809,Tang,唐,113618
30230,Eyue Dutuanlia,鄂岳都团练观,鄂岳都團練觀,810,817,Tang,唐,113618
30231,Eyue Guanchash,鄂岳观察使,鄂岳觀察使,818,846,Tang,唐,113618
30232,Wuchangjun Jie,武昌军节度使,武昌軍節度使,847,847,Tang,唐,113618
30233,Eyue Guanchash,鄂岳观察使,鄂岳觀察使,848,849,Tang,唐,113618
30234,Wuchangjun Jie,武昌军节度使,武昌軍節度使,850,851,Tang,唐,113618
30235,Eyue Guanchash,鄂岳观察使,鄂岳觀察使,852,887,Tang,唐,113618
30236,Wuchangjun Jie,武昌军节度使,武昌軍節度使,888,904,Tang,唐,113618
30237,Ezhou Guanchas,鄂州观察使,鄂州觀察使,905,906,Tang,唐,113618
30238,Jingnan Jiedus,荆南节度使,荊南節度使,757,831,Tang,唐,113618
30239,Lilangdutuanli,澧朗溆都团练,澧朗溆都團練,759,759,Tang,唐,113618
30240,Jingnan Dutuan,荆南都团练观,荊南都團練觀,832,837,Tang,唐,113618
30241,Jingnan Jiedus,荆南节度使,荊南節度使,838,897,Tang,唐,113618
30242,Wuzhenjun Jied,武贞军节度使,武貞軍節度使,898,907,Tang,唐,113618
30243,Yongshunjun Ji,永顺军节度使,永順軍節度使,908,921,Tang,唐,113618
30244,Wushunjun Jied,武顺军节度使,武順軍節度使,922,922,Tang,唐,113618
30245,Wuzhenjun Jied,武贞军节度使,武貞軍節度使,923,930,Tang,唐,113618
30247,Annanguannei J,安南管内经略,安南管內經略,751,757,Tang,唐,113618
30248,Annan Jiedushi,安南节度使,安南節度使,758,763,Tang,唐,113618
30249,Zhennan Dufang,镇南都防御观,鎮南都防御觀,764,765,Tang,唐,113618
30250,Annan Dufangyu,安南都防御观,安南都防御觀,766,865,Tang,唐,113618
30251,Jinghaijun Jie,静海军节度使,靜海軍節度使,866,938,Tang,唐,113618
30252,Jing Zhou,荆州,荊州,188,189,Donghan,东汉,113654
30253,Jing Zhou,荆州,荊州,190,208,Donghan,东汉,113655
30254,Jing Zhou,荆州,荊州,209,218,Donghan,东汉,113656
30255,Jing Zhou,荆州,荊州,219,220,Donghan,东汉,113655
30255,Jing Zhou,荆州,荊州,221,279,Sanguo Wu,三国吴,113659
30255,Jing Zhou,荆州,荊州,281,311,Xijin,西晋,113660
30256,Jing Zhou,荆州,荊州,312,312,Xijin,西晋,113660
30257,Jing Zhou,荆州,荊州,313,314,Xijin,西晋,113661
30258,Jing Zhou,荆州,荊州,315,317,Xijin,西晋,113661
30259,Jing Zhou,荆州,荊州,318,321,Dongjin,东晋,113686
30260,Jing Zhou,荆州,荊州,322,328,Dongjin,东晋,113686
30261,Jing Zhou,荆州,荊州,329,329,Dongjin,东晋,113686
30262,Jing Zhou,荆州,荊州,330,344,Dongjin,东晋,113686
30263,Jing Zhou,荆州,荊州,345,351,Dongjin,东晋,113686
30264,Jing Zhou,荆州,荊州,352,376,Dongjin,东晋,113686
30265,Jing Zhou,荆州,荊州,377,385,Dongjin,东晋,113686
30266,Jing Zhou,荆州,荊州,386,420,Dongjin,东晋,113686
30266,Jing Zhou,荆州,荊州,421,478,Nanchaosong,南朝宋,113687
30266,Jing Zhou,荆州,荊州,479,501,Nanchao Qi,南朝齐,113688
30266,Jing Zhou,荆州,荊州,502,556,Nanchao Liang,南朝梁,113689
30266,Jing Zhou,荆州,荊州,557,566,Nanchao Chen,南朝陈,113690
30267,Jing Zhou,荆州,荊州,567,588,Nanchao Chen,南朝陈,113690
30268,Ying Zhou,郢州,郢州,454,478,Nanchaosong,南朝宋,113687
30268,Ying Zhou,郢州,郢州,479,501,Nanchao Qi,南朝齐,113688
30268,Ying Zhou,郢州,郢州,502,551,Nanchao Liang,南朝梁,113689
30269,Wu Zhou,武州,武州,550,556,Nanchao Liang,南朝梁,113689
30269,Wu Zhou,武州,武州,557,574,Nanchao Chen,南朝陈,113690
30270,Yuan Zhou,沅州,沅州,575,588,Nanchao Chen,南朝陈,113690
30271,Ba Zhou,巴州,巴州,552,556,Nanchao Liang,南朝梁,113689
30271,Ba Zhou,巴州,巴州,557,588,Nanchao Chen,南朝陈,113690
30272,Luo Zhou,罗州,羅州,552,556,Nanchao Liang,南朝梁,113689
30273,Heng Zhou,衡州,衡州,507,556,Nanchao Liang,南朝梁,113689
30273,Heng Zhou,衡州,衡州,557,580,Nanchao Chen,南朝陈,113690
30274,Xiheng Zhou,西衡州,西衡州,581,588,Nanchao Chen,南朝陈,113690
30275,Dongheng Zhou,东衡州,東衡州,552,556,Nanchao Liang,南朝梁,113689
30275,Dongheng Zhou,东衡州,東衡州,557,572,Nanchao Chen,南朝陈,113690
30276,Dongheng Zhou,东衡州,東衡州,581,588,Nanchao Chen,南朝陈,113690
30277,Jiaozhi,交趾,交趾,188,202,Donghan,东汉,113655
30278,Jiao Zhou,交州,交州,203,209,Donghan,东汉,113656
30279,Jiao Zhou,交州,交州,210,220,Donghan,东汉,113655
30279,Jiao Zhou,交州,交州,221,263,Donghan,东汉,113655
30280,Jiao Zhou,交州,交州,264,279,Sanguo Wu,三国吴,113659
30280,Jiao Zhou,交州,交州,281,316,Xijin,西晋,113661
30280,Jiao Zhou,交州,交州,317,420,Dongjin,东晋,113686
30280,Jiao Zhou,交州,交州,421,478,Nanchaosong,南朝宋,113687
30280,Jiao Zhou,交州,交州,479,501,Nanchao Qi,南朝齐,113688
30280,Jiao Zhou,交州,交州,502,541,Nanchao Liang,南朝梁,113689
30281,An Zhou,安州,安州,542,556,Nanchao Liang,南朝梁,113689
30281,An Zhou,安州,安州,557,588,Nanchao Chen,南朝陈,113690
30282,Huang Zhou,黄州,黃州,535,556,Nanchao Liang,南朝梁,113689
30282,Huang Zhou,黄州,黃州,557,588,Nanchao Chen,南朝陈,113690
30283,Yue Zhou,越州,越州,471,478,Nanchaosong,南朝宋,113687
30284,Yue Zhou,越州,越州,479,501,Nanchao Qi,南朝齐,113688
30285,Yue Zhou,越州,越州,502,556,Nanchao Liang,南朝梁,113689
30285,Yue Zhou,越州,越州,557,588,Nanchao Chen,南朝陈,113690
30286,Luo Zhou,罗州,羅州,502,556,Nanchao Liang,南朝梁,113689
30286,Luo Zhou,罗州,羅州,557,588,Nanchao Chen,南朝陈,113690
