,NAME_PY,NAME_CH,NAME_FT,PRES_LOC,BEG_CHG_TY,END_CHG_TY,TYPE_PY,TYPE_CH,LEV_RANK,BEG_YR,END_YR,BOU_NOTE_ID,PT_NOTE_ID,BOU_ID,PT_ID,X_COOR,Y_COOR,BOU_ID_IN_GISINFO_SYS_ID,PT_ID_IN_GISINFO_SYS_ID,ISSUE?,BOU_ID_EQUALS_PT_ID
12740,Yulin Jun,郁林郡,郁林郡,今广西贵港市东南瓦塘乡,治所迁移且辖区缩小,辖区缩小,Jun,郡,3,502,589,0,93314,0,35064,109.64443,22.92084,0,0,1,0
12741,Yulin Jun,郁林郡,郁林郡,今广西贵港市东南瓦塘乡,辖区缩小,辖区扩大,Jun,郡,3,557,589,0,93315,0,35065,109.64443,22.92084,0,0,1,0
12742,Lingfang Jun,领方郡,領方郡,今广西宾阳县东南古城村,新建,撤销,Jun,郡,3,502,589,0,93316,0,35066,108.83964,23.18171,0,0,1,0
12743,Guiping Jun,桂平郡,桂平郡,今广西桂平县西西山镇,新建,撤销,Jun,郡,3,502,589,0,93317,0,35067,110.02782,23.37969,0,0,1,0
12744,Ancheng Jun,安成郡,安成郡,今广西宾阳县东莲花村,新建,撤销,Jun,郡,3,502,589,0,93318,0,35068,109.06338,23.24264,0,0,1,0
12745,Shinan Jun,石南郡,石南郡,今广西玉林市西北蒲塘镇,新建,撤销,Jun,郡,3,557,589,0,93319,0,35069,109.96424,22.91099,0,0,1,0
12746,Guilin Jun,桂林郡,桂林郡,今广西象州县北运江,治所迁移且辖区缩小,辖区缩小,Jun,郡,3,479,501,0,93320,0,35070,109.71843,24.14619,0,0,1,0
12747,Guilin Jun,桂林郡,桂林郡,今广西象州县北运江,辖区缩小,撤销,Jun,郡,3,502,589,0,93321,0,35071,109.71843,24.14619,0,0,1,0
12748,Qixi Jun,齐熙郡,齊熙郡,今广西融水县,新建,撤销,Jun,郡,3,479,589,0,93322,0,35072,109.24854,25.06544,0,0,1,0
12749,Maping Jun,马平郡,馬平郡,今广西柳州市,新建,撤销,Jun,郡,3,502,589,0,93324,0,35074,109.4044,24.30999,0,0,1,0
12750,Shaoyang Jun,韶阳郡,韶陽郡,今广西象州县,新建,撤销,Jun,郡,3,502,589,0,93325,0,35075,109.68246,23.95806,0,0,1,0
12751,Xiang Jun,象郡,象郡,今广西鹿寨县西南西江口乡,新建,撤销,Jun,郡,3,502,589,0,93326,0,35076,109.60188,24.26021,0,0,1,0
12752,Shian Jun,始安郡,始安郡,今广西桂林市,辖区缩小,撤销,Jun,郡,3,542,589,0,93327,0,35077,110.28626,25.28006,0,0,1,0
12753,Lianghua Jun,梁化郡,梁化郡,今广西永福县西南永安乡,新建,撤销,Jun,郡,3,542,589,0,93328,0,35078,109.77741,24.91651,0,0,1,0
12754,Linhe 、leliang Er Jun,临贺、乐梁二郡,臨賀、樂梁二郡,今广西贺县东南贺街镇,临贺辖区缩小、乐梁新,辖区缩小,Jun,郡,3,502,556,0,93329,0,35079,111.65885,24.33682,0,0,1,0
12755,Linhe 、leliang Er Jun,临贺、乐梁二郡,臨賀、樂梁二郡,今广西贺县东南贺街镇,辖区缩小,撤销,Jun,郡,3,557,589,0,93330,0,35080,111.65885,24.33682,0,0,1,0
12756,Suiyue Jun,绥越郡,綏越郡,今广西贺县西南大平,新建,撤销,Jun,郡,3,557,589,0,93331,0,35081,111.35531,24.02309,0,0,1,0
12757,Liangshou 、jingwei Er Jun,梁寿、静慰二郡,梁壽、靜慰二郡,今广西昭平县,新建,撤销,Jun,郡,3,502,589,0,93332,0,35082,110.80361,24.16912,0,0,1,0
12758,Kaijiang Jun,开江郡,開江郡,今广西昭平县东南马江镇,新建,撤销,Jun,郡,3,502,589,0,93333,0,35083,111.0437,23.88922,0,0,1,0
12759,Wucheng Jun,武城郡,武城郡,今广西昭平县南木格乡,新建,辖区缩小,Jun,郡,3,502,556,0,93334,0,35084,110.98642,23.80137,0,0,1,0
12760,Wucheng 、xiaoyao Er Jun,武城、逍遥二郡,武城、逍遙二郡,今广西昭平县南木格乡,武城辖区缩小、逍遥新,撤销,Jun,郡,3,557,589,0,93335,0,35085,110.98642,23.80137,0,0,1,0
12761,Cangwu Jun,苍梧郡,蒼梧郡,今广西梧州市,辖区缩小,撤销,Jun,郡,3,502,589,0,93337,0,35087,111.30857,23.4869,0,0,1,0
12762,Liangxin Jun,梁信郡,梁信郡,今广东封开县封川镇,新建,撤销,Jun,郡,3,502,589,0,93338,0,35088,111.50941,23.40005,0,0,1,0
12763,Yongping Jun,永平郡,永平郡,今广西藤县容江东岸,辖区缩小,撤销,Jun,郡,3,502,589,0,93339,0,35089,110.91352,23.37851,0,0,1,0
12764,Jianling Jun,建陵郡,建陵郡,今广西藤县西北蒙江镇,新建,撤销,Jun,郡,3,502,589,0,93340,0,35090,110.73591,23.47564,0,0,1,0
12765,Nanliu Jun,南流郡,南流郡,今广西玉林市,新建,辖区缩小,Jun,郡,3,471,478,0,93341,0,35091,110.14588,22.6321,0,0,1,0
12766,Nanliu Jun,南流郡,南流郡,今广西玉林市,辖区缩小,辖区缩小,Jun,郡,3,479,487,0,93342,0,35092,110.14588,22.6321,0,0,1,0
12767,Nanliu Jun,南流郡,南流郡,今广西玉林市,辖区缩小,撤销,Jun,郡,3,488,501,0,93343,0,35093,110.14588,22.6321,0,0,1,0
12768,Dingchuan Jun,定川郡,定川郡,今广西玉林市南船埔街,新建,辖区变化,Jun,郡,3,479,501,0,93344,0,35094,110.06289,22.55125,0,0,1,0
12769,Dingchuan Jun,定川郡,定川郡,今广西玉林市南船埔街,辖区变化,撤销,Jun,郡,3,502,589,0,93345,0,35095,110.06289,22.55125,0,0,1,0
12770,Luchuan Jun,陆川郡,陸川郡,今广西北流县南六靖镇,新建,撤销,Jun,郡,3,479,501,0,93346,0,35096,110.53345,22.26029,0,0,1,0
12771,Beiliu Jun,北流郡,北流郡,今广西北流县,新建,撤销,Jun,郡,3,488,501,0,93347,0,35097,110.34752,22.71418,0,0,1,0
12772,Yinshi Jun,阴石郡,陰石郡,今广西容县,新建,撤销,Jun,郡,3,502,589,0,93348,0,35098,110.55103,22.86359,0,0,1,0
12773,Linzhang Jun,临漳郡,臨漳郡,今广西合浦县东北,新建,辖区缩小,Jun,郡,3,420,470,0,93349,0,35099,109.28831,21.79058,0,0,1,0
12774,Linzhang Jun,临漳郡,臨漳郡,今广西合浦县东北,辖区缩小,撤销,Jun,郡,3,471,501,0,93350,0,35100,109.28831,21.79058,0,0,1,0
12775,Songshou Jun,宋寿郡,宋壽郡,今广西钦州市东北钦江西岸,新建,辖区缩小,Jun,郡,3,420,501,0,93351,0,35101,108.71877,22.07272,0,0,1,0
12776,Songshou Jun,宋寿郡,宋壽郡,今广西钦州市东北钦江西岸,辖区缩小,撤销,Jun,郡,3,502,589,0,93352,0,35102,108.71877,22.07272,0,0,1,0
12777,Ninghai Jun,宁海郡,寧海郡,今广西防城县东兴,新建,撤销,Jun,郡,3,502,589,0,93355,0,35105,107.96951,21.54577,0,0,1,0
12778,Hepu Jun,合浦郡,合浦郡,今广西浦北县南旧州村,辖区缩小,辖区缩小,Jun,郡,3,471,478,0,93356,0,35106,109.47007,21.91326,0,0,1,0
12779,Hepu Jun,合浦郡,合浦郡,今广西浦北县南旧州村,辖区缩小,辖区变化,Jun,郡,3,479,501,0,93357,0,35107,109.47007,21.91326,0,0,1,0
12780,Hepu Jun,合浦郡,合浦郡,今广西浦北县南旧州村,辖区变化,撤销,Jun,郡,3,502,589,0,93358,0,35108,109.47007,21.91326,0,0,1,0
12781,Bailiang Jun,百梁郡,百梁郡,今广西合浦县,新建,撤销,Jun,郡,3,471,589,0,93359,0,35109,109.19004,21.67015,0,0,1,0
12782,Anchang Jun,安昌郡,安昌郡,今广西合浦县北石湾镇,新建,撤销,Jun,郡,3,471,589,0,93361,0,35111,109.23376,21.77269,0,0,1,0
12783,Fengshan Jun,封山郡,封山郡,今广西浦北县西北通镇,新建,撤销,Jun,郡,3,479,589,0,93362,0,35112,109.33742,22.22734,0,0,1,0
12784,Yantian Jun,盐田郡,鹽田郡,今广西合浦县东南南康社内,新建,撤销,Jun,郡,3,479,589,0,93363,0,35113,109.4673,21.58037,0,0,1,0
12785,Gui Zhou,桂州,桂州,今广西桂林市,新建,辖区扩大,Zhou,州,3,590,606,0,93364,0,35114,110.28626,25.28006,0,0,1,0
12786,Shian Jun,始安郡,始安郡,今广西桂林市,更名且辖区扩大,辖区缩小,Jun,郡,3,607,615,0,93365,0,35115,110.28626,25.28006,0,0,1,0
12787,Shian Jun,始安郡,始安郡,今广西桂林市,辖区缩小,更名,Jun,郡,3,616,620,0,93366,0,35116,110.28626,25.28006,0,0,1,0
12788,Dongning Zhou,东宁州,東寧州,今广西融水县,新建,更名,Zhou,州,3,590,597,0,93367,0,35117,109.24854,25.06544,0,0,1,0
12789,Rong Zhou,融州,融州,今广西融水县,更名,撤销,Zhou,州,3,598,606,0,93368,0,35118,109.24854,25.06544,0,0,1,0
12790,Xiang Zhou,象州,象州,今广西柳州市,新建,撤销,Zhou,州,3,590,606,0,93369,0,35119,109.4044,24.30999,0,0,1,0
12791,He Zhou,贺州,賀州,今广西钟山县,新建,撤销,Zhou,州,3,590,606,0,93370,0,35120,111.29557,24.52654,0,0,1,0
12792,Jing Zhou,静州,靜州,今广西昭平县,新建,撤销,Zhou,州,3,590,606,0,93371,0,35121,110.80361,24.16912,0,0,1,0
12793,Teng Zhou,滕州,滕州,今广西藤县容江东岸,新建,更名,Zhou,州,3,590,606,0,93372,0,35122,110.91352,23.37851,0,0,1,0
12794,Yongping Jun,永平郡,永平郡,今广西藤县容江东岸,更名,更名,Jun,郡,3,607,620,0,93373,0,35123,110.91352,23.37851,0,0,1,0
12795,Jian Zhou,简州,簡州,今广西横县郁江南岸,新建,更名,Zhou,州,3,590,597,0,93374,0,35124,109.2594,22.6792,0,0,1,0
12796,Yuan Zhou,缘州,緣州,今广西横县郁江南岸,更名,撤销,Zhou,州,3,598,606,0,93375,0,35125,109.2594,22.6792,0,0,1,0
12797,Yin Zhou,尹州,尹州,今广西贵港市东南瓦塘乡,新建,更名,Zhou,州,3,590,605,0,93376,0,35126,109.64443,22.92084,0,0,1,0
12798,Yu Zhou,郁州,鬱州,今广西贵港市东南瓦塘乡,更名,更名且辖区扩大,Zhou,州,3,606,606,0,93377,0,35127,109.64443,22.92084,0,0,1,0
12799,Yulin Jun,郁林郡,郁林郡,今广西贵港市东南瓦塘乡,更名且辖区扩大,更名,Jun,郡,3,607,620,0,93378,0,35128,109.64443,22.92084,0,0,1,0
12800,Gui Zhou,桂州,桂州,今广西桂林市,新建,辖区扩大,Zhou,州,3,621,637,0,93379,0,35129,110.28626,25.28006,0,0,1,0
12801,Gui Zhou,桂州,桂州,今广西桂林市,辖区扩大,辖区缩小,Zhou,州,3,638,667,0,93380,0,35130,110.28626,25.28006,0,0,1,0
12802,Gui Zhou,桂州,桂州,今广西桂林市,辖区缩小,辖区缩小,Zhou,州,3,668,710,0,93381,0,35131,110.28626,25.28006,0,0,1,0
12803,Gui Zhou,桂州,桂州,今广西桂林市,辖区缩小,辖区扩大,Zhou,州,3,711,735,0,93382,0,35132,110.28626,25.28006,0,0,1,0
12804,Gui Zhou,桂州,桂州,今广西桂林市,辖区扩大,更名,Zhou,州,3,736,741,0,93383,0,35133,110.28626,25.28006,0,0,1,0
12805,Shian Jun,始安郡,始安郡,今广西桂林市,更名,更名,Jun,郡,3,742,756,0,93384,0,35134,110.28626,25.28006,0,0,1,0
12806,Jianling Jun,建陵郡,建陵郡,今广西桂林市,更名,更名,Jun,郡,3,757,757,0,93385,0,35135,110.28626,25.28006,0,0,1,0
12807,Gui Zhou,桂州,桂州,今广西桂林市,更名,辖区缩小,Zhou,州,3,758,779,0,93386,0,35136,110.28626,25.28006,0,0,1,0
12808,Gui Zhou,桂州,桂州,今广西桂林市,辖区缩小,辖区缩小,Zhou,州,3,780,945,0,93387,0,35137,110.28626,25.28006,0,0,1,0
12809,Gui Zhou,桂州,桂州,今广西桂林市,辖区缩小,辖区扩大,Zhou,州,3,946,962,0,93388,0,35138,110.28626,25.28006,0,0,1,0
12810,Gui Zhou,桂州,桂州,今广西桂林市,辖区扩大,辖区扩大,Zhou,州,3,963,971,0,93389,0,35139,110.28626,25.28006,0,0,1,0
12811,Gui Zhou,桂州,桂州,今广西桂林市,辖区扩大,更名,Zhou,州,3,972,1132,0,93390,0,35140,110.28626,25.28006,0,0,1,0
12812,Jingjiang Fu,靖江府,靖江府,今广西桂林市,更名,更名,Fu,府,3,1133,1277,0,93391,0,35141,110.28626,25.28006,0,0,1,0
12813,Pu Zhou,溥州,溥州,今广西兴安县,新建,撤销,Zhou,州,3,946,962,0,93392,0,35142,110.66587,25.61313,0,0,1,0
12814,Li Zhou,荔州,荔州,今广西荔浦县西茶城乡,新建,辖区缩小,Zhou,州,3,621,621,0,93393,0,35143,110.23548,24.50105,0,0,1,0
12815,Li Zhou,荔州,荔州,今广西荔浦县西茶城乡,辖区缩小,辖区缩小,Zhou,州,3,622,626,0,93394,0,35144,110.23548,24.50105,0,0,1,0
12816,Li Zhou,荔州,荔州,今广西荔浦县西茶城乡,辖区缩小,辖区缩小,Zhou,州,3,627,635,0,93395,0,35145,110.23548,24.50105,0,0,1,0
12817,Li Zhou,荔州,荔州,今广西荔浦县西茶城乡,辖区缩小,撤销,Zhou,州,3,636,637,0,93396,0,35146,110.23548,24.50105,0,0,1,0
12818,Yan Zhou,宴州,宴州,今广西荔浦县西南修仁镇西老县村,新建,撤销,Zhou,州,3,627,637,0,93397,0,35147,110.22256,24.42262,0,0,1,0
12819,Nangong Zhou,南恭州,南恭州,今广西蒙山县东南古眉村,新建,辖区缩小,Zhou,州,3,622,631,0,93398,0,35148,110.57578,24.11503,0,0,1,0
12820,Nangong Zhou,南恭州,南恭州,今广西蒙山县东南古眉村,辖区缩小,更名,Zhou,州,3,632,633,0,93399,0,35149,110.57578,24.11503,0,0,1,0
12821,Meng Zhou,蒙州,蒙州,今广西蒙山县东南古眉村,更名,辖区扩大,Zhou,州,3,634,635,0,93400,0,35150,110.57578,24.11503,0,0,1,0
12822,Meng Zhou,蒙州,蒙州,今广西蒙山县东南古眉村,辖区扩大,辖区缩小,Zhou,州,3,636,680,0,93401,0,35151,110.57578,24.11503,0,0,1,0
12823,Meng Zhou,蒙州,蒙州,今广西蒙山县东南古眉村,辖区缩小,更名,Zhou,州,3,681,741,0,93402,0,35152,110.57578,24.11503,0,0,1,0
12824,Mengshan Jun,蒙山郡,蒙山郡,今广西蒙山县东南古眉村,更名,更名,Jun,郡,3,742,757,0,93403,0,35153,110.57578,24.11503,0,0,1,0
12825,Meng Zhou,蒙州,蒙州,今广西蒙山县东南古眉村,更名,辖区扩大,Zhou,州,3,758,971,0,93404,0,35154,110.57578,24.11503,0,0,1,0
12826,Meng Zhou,蒙州,蒙州,今广西蒙山县东南古眉村,辖区扩大,撤销,Zhou,州,3,972,1071,0,93405,0,35155,110.57578,24.11503,0,0,1,0
12827,Sitang Zhou,思唐州,思唐州,今广西平南县西北国安乡,新建,撤销,Zhou,州,3,681,735,0,93406,0,35156,110.26015,23.85041,0,0,1,0
12828,Sitang Zhou,思唐州,思唐州,今广西平南县西北国安乡,新建,撤销,Zhou,州,3,780,971,0,93407,0,35157,110.26015,23.85041,0,0,1,0
12829,Le Zhou,乐州,樂州,今广西平乐县西恭城河北岸,新建,更名,Zhou,州,3,621,633,0,93408,0,35158,110.63487,24.64235,0,0,1,0
12830,Zhao Zhou,昭州,昭州,今广西平乐县西恭城河北岸,更名,更名,Zhou,州,3,634,741,0,93409,0,35159,110.63487,24.64235,0,0,1,0
12831,Pingle Jun,平乐郡,平樂郡,今广西平乐县西恭城河北岸,更名,更名,Jun,郡,3,742,757,0,93410,0,35160,110.63487,24.64235,0,0,1,0
12832,Zhao Zhou,昭州,昭州,今广西平乐县西恭城河北岸,更名,辖区扩大,Zhou,州,3,758,971,0,93411,0,35161,110.63487,24.64235,0,0,1,0
12833,Zhao Zhou,昭州,昭州,今广西平乐县西恭城河北岸,辖区扩大,治所迁移,Zhou,州,3,972,1063,0,93412,0,35162,110.63487,24.64235,0,0,1,0
12834,Zhao Zhou,昭州,昭州,今广西平乐县,治所迁移,辖区扩大,Zhou,州,3,1064,1071,0,93413,0,35163,110.6465,24.63573,0,0,1,0
12835,Zhao Zhou,昭州,昭州,今广西平乐县,辖区扩大,辖区缩小,Zhou,州,3,1072,1074,0,93414,0,35164,110.6465,24.63573,0,0,1,0
